function,category,in_excel,in_google_sheets,in_libreoffice,google_sheets_verdict,google_sheets_executed,libreoffice_verdict,libreoffice_version_tested,libreoffice_newly_supported_in
ROUNDUP,Math and trigonometry,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
ROW,Lookup and reference,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
ROWS,Lookup and reference,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
RRI,Financial,True,True,True,,,,,
RSQ,Statistical,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
RTD,Lookup and reference,True,False,False,,,,,
SCAN,Logical,True,True,False,supported,"Google Sheets (Drive import, 2026-08-29)",unsupported,25.8.7.3,
SEARCH,Text,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
SEARCHB,Text,True,True,False,,,,,
SEC,Math and trigonometry,True,True,True,,,,,
SECH,Math and trigonometry,True,True,True,,,,,
SECOND,Date and time,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
SEQUENCE,Math and trigonometry,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,24.8.7.2
SERIESSUM,Math and trigonometry,True,True,True,,,,,
SHEET,Information,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
SHEETS,Information,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
SIGN,Math and trigonometry,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
SIN,Math and trigonometry,True,True,True,,,,,
SINH,Math and trigonometry,True,True,True,,,,,
SKEW,Statistical,True,True,True,,,,,
SKEW.P,Statistical,True,True,False,,,,,
SKEWP,Statistical Part Five,False,False,True,,,,,
SLN,Financial,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
SLOPE,Statistical,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
SMALL,Statistical,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",quirky,25.8.7.3,
SORT,Lookup and reference,True,True,True,quirky,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,24.8.7.2
SORTBY,Lookup and reference,True,False,True,unsupported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,24.8.7.2
SORTN,Filter,False,True,False,,,,,
SPARKLINE,Google,False,True,False,,,,,
SPLIT,Text,False,True,False,,,,,
SQRT,Math and trigonometry,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",quirky,25.8.7.3,
SQRTPI,Math and trigonometry,True,True,True,,,,,
STANDARDIZE,Statistical,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
STDEV,Compatibility,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
STDEV.P,Statistical,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
STDEV.S,Statistical,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
STDEVA,Statistical,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
STDEVP,Compatibility,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
STDEVPA,Statistical,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
STEYX,Statistical,True,True,True,,,,,
STOCKHISTORY,Information,True,False,False,,,,,
SUBSTITUTE,Text,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
SUBTOTAL,Math and trigonometry,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
SUM,Math and trigonometry,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",quirky,25.8.7.3,
SUMIF,Math and trigonometry,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
SUMIFS,Math and trigonometry,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
SUMPRODUCT,Math and trigonometry,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
SUMSQ,Math and trigonometry,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
SUMX2MY2,Math and trigonometry,True,True,True,,,,,
SUMX2PY2,Math and trigonometry,True,True,True,,,,,
SUMXMY2,Math and trigonometry,True,True,True,,,,,
SWITCH,Logical,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
SYD,Financial,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
T,Text,True,True,True,,,,,
T.DIST,Statistical,True,True,True,,,,,
T.DIST.2T,Statistical,True,True,True,,,,,
T.DIST.RT,Statistical,True,True,True,,,,,
T.INV,Statistical,True,True,True,,,,,
T.INV.2T,Statistical,True,True,True,,,,,
T.TEST,Statistical,True,True,True,,,,,
TAKE,Lookup and reference,True,False,True,unsupported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,25.8.7.3
TAN,Math and trigonometry,True,True,True,,,,,
TANH,Math and trigonometry,True,True,True,,,,,
TBILLEQ,Financial,True,True,True,,,,,
TBILLPRICE,Financial,True,True,True,,,,,
TBILLYIELD,Financial,True,True,True,,,,,
TDIST,Compatibility,True,True,True,,,,,
TEXT,Text,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
TEXTAFTER,Text,True,False,True,unsupported,"Google Sheets (Drive import, 2026-08-29)",quirky,25.8.7.3,
TEXTBEFORE,Text,True,False,True,unsupported,"Google Sheets (Drive import, 2026-08-29)",quirky,25.8.7.3,
TEXTJOIN,Text,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
TEXTSPLIT,Text,True,False,True,unsupported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,25.8.7.3
TIME,Date and time,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
TIMEVALUE,Date and time,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
TINV,Compatibility,True,True,True,,,,,
TOCOL,Lookup and reference,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,25.8.7.3
TODAY,Date and time,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
TOROW,Lookup and reference,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,25.8.7.3
TO_DATE,Parser,False,True,False,,,,,
TO_DOLLARS,Parser,False,True,False,,,,,
TO_PERCENT,Parser,False,True,False,,,,,
TO_PURE_NUMBER,Parser,False,True,False,,,,,
TO_TEXT,Parser,False,True,False,,,,,
TRANSLATE,Text,True,False,False,,,,,
TRANSPOSE,Lookup and reference,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
TREND,Statistical,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
TRIM,Text,True,True,True,quirky,"Google Sheets (Drive import, 2026-08-29)",quirky,25.8.7.3,
TRIMMEAN,Statistical,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
TRIMRANGE,Lookup and reference,True,False,False,,,,,
TRUE,Logical,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
TRUNC,Math and trigonometry,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
TTEST,Compatibility,True,True,True,,,,,
TYPE,Information,True,True,True,quirky,"Google Sheets (Drive import, 2026-08-29)",quirky,25.8.7.3,
UMINUS,Operator,False,True,False,,,,,
UNARY_PERCENT,Operator,False,True,False,,,,,
UNICHAR,Text,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",quirky,25.8.7.3,
UNICODE,Text,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
UNIQUE,Lookup and reference,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,24.8.7.2
UPLUS,Operator,False,True,False,,,,,
UPPER,Text,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
VALUE,Text,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
VALUETOTEXT,Text,True,False,False,,,,,
VAR,Compatibility,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
VAR.P,Statistical,True,True,True,,,,,
VAR.S,Statistical,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
VARA,Statistical,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
VARP,Compatibility,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
VARPA,Statistical,True,True,True,,,,,
VDB,Financial,True,True,True,,,,,
VLOOKUP,Lookup and reference,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",quirky,25.8.7.3,
VSTACK,Lookup and reference,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,25.8.7.3
WEBSERVICE,Web,True,False,True,,,,,
WEEKDAY,Date and time,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",quirky,25.8.7.3,
WEEKNUM,Date and time,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
WEEKNUM_EXCEL2003,Date & Time,False,False,True,,,,,
WEEKNUM_OOO,Date & Time,False,False,True,,,,,
WEEKS,Date & Time,False,False,True,,,,,
WEEKSINYEAR,Date & Time,False,False,True,,,,,
WEIBULL,Compatibility,True,True,True,,,,,
WEIBULL.DIST,Statistical,True,True,True,,,,,
WORKDAY,Date and time,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
WORKDAY.INTL,Date and time,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
WRAPCOLS,Lookup and reference,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,25.8.7.3
WRAPROWS,Lookup and reference,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,25.8.7.3
XIRR,Financial,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
XLOOKUP,Lookup and reference,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,24.8.7.2
XMATCH,Lookup and reference,True,False,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,24.8.7.2
XNPV,Financial,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
XOR,Logical,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
YEAR,Date and time,True,True,True,quirky,"Google Sheets (Drive import, 2026-08-29)",quirky,25.8.7.3,
YEARFRAC,Date and time,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",quirky,25.8.7.3,
YEARS,Date & Time,False,False,True,,,,,
YIELD,Financial,True,True,True,,,,,
YIELDDISC,Financial,True,True,True,,,,,
YIELDMAT,Financial,True,True,True,,,,,
Z.TEST,Statistical,True,True,True,,,,,
ZTEST,Compatibility,True,True,True,,,,,
